1920 jobs 3123s
{'learner': 'P1', 'delta': 3.0, 'rho': 0.7, 'N': 150, 's': 1.0, 'seeds': 20, 'true_gain_mean': 0.12037654703766758, 'gain_mean': -0.007800000000000001, 'bias': -0.1281765470376676, 'pass': 0, 'p_lt_05': 2, 'cost_policy': 0.009813333333333337, 'cost_fixed': 0.011204000000000002}
{'learner': 'P1', 'delta': 3.0, 'rho': 0.7, 'N': 200, 's': 0.0, 'seeds': 20, 'true_gain_mean': -2.2204460492503132e-17, 'gain_mean': -0.0060500000000000016, 'bias': -0.006049999999999979, 'pass': 0, 'p_lt_05': 1, 'cost_policy': 0.010413400000000001, 'cost_fixed': 0.011076}
{'learner': 'P1', 'delta': 3.0, 'rho': 0.7, 'N': 200, 's': 0.5, 'seeds': 20, 'true_gain_mean': 0.03801153366057692, 'gain_mean': -0.0102, 'bias': -0.048211533660576913, 'pass': 0, 'p_lt_05': 0, 'cost_policy': 0.0101476, 'cost_fixed': 0.011076}
{'learner': 'P1', 'delta': 3.0, 'rho': 0.7, 'N': 200, 's': 1.0, 'seeds': 20, 'true_gain_mean': 0.120424343357539, 'gain_mean': -0.00775, 'bias': -0.12817434335753902, 'pass': 0, 'p_lt_05': 0, 'cost_policy': 0.0099342, 'cost_fixed': 0.011076}
{'learner': 'P1', 'delta': 3.0, 'rho': 0.7, 'N': 300, 's': 0.0, 'seeds': 20, 'true_gain_mean': 2.2204460492503132e-17, 'gain_mean': -0.006733333333333334, 'bias': -0.006733333333333357, 'pass': 0, 'p_lt_05': 0, 'cost_policy': 0.011524733333333335, 'cost_fixed': 0.011912000000000002}
{'learner': 'P1', 'delta': 3.0, 'rho': 0.7, 'N': 300, 's': 0.5, 'seeds': 20, 'true_gain_mean': 0.03591020917041031, 'gain_mean': -0.0045, 'bias': -0.04041020917041031, 'pass': 0, 'p_lt_05': 0, 'cost_policy': 0.01135226666666667, 'cost_fixed': 0.011912000000000002}
{'learner': 'P1', 'delta': 3.0, 'rho': 0.7, 'N': 300, 's': 1.0, 'seeds': 20, 'true_gain_mean': 0.11207840712659937, 'gain_mean': -0.0016666666666666666, 'bias': -0.11374507379326604, 'pass': 0, 'p_lt_05': 2, 'cost_policy': 0.01103206666666667, 'cost_fixed': 0.011912000000000002}
{'learner': 'P1', 'delta': 3.0, 'rho': 1.0, 'N': 100, 's': 0.0, 'seeds': 20, 'true_gain_mean': 2.7755575615628914e-17, 'gain_mean': -0.0167, 'bias': -0.016700000000000027, 'pass': 0, 'p_lt_05': 0, 'cost_policy': 0.0102314, 'cost_fixed': 0.011084000000000002}
{'learner': 'P1', 'delta': 3.0, 'rho': 1.0, 'N': 100, 's': 0.5, 'seeds': 20, 'true_gain_mean': 0.033017307715619046, 'gain_mean': -0.0114, 'bias': -0.04441730771561905, 'pass': 0, 'p_lt_05': 1, 'cost_policy': 0.0103076, 'cost_fixed': 0.011084000000000002}
{'learner': 'P1', 'delta': 3.0, 'rho': 1.0, 'N': 100, 's': 1.0, 'seeds': 20, 'true_gain_mean': 0.11992566242671512, 'gain_mean': -0.004999999999999999, 'bias': -0.12492566242671513, 'pass': 1, 'p_lt_05': 1, 'cost_policy': 0.010293, 'cost_fixed': 0.011084000000000002}
{'learner': 'P1', 'delta': 3.0, 'rho': 1.0, 'N': 150, 's': 0.0, 'seeds': 20, 'true_gain_mean': -1.6653345369377347e-17, 'gain_mean': -0.0132, 'bias': -0.013199999999999984, 'pass': 0, 'p_lt_05': 1, 'cost_policy': 0.010181333333333337, 'cost_fixed': 0.011068000000000005}
{'learner': 'P1', 'delta': 3.0, 'rho': 1.0, 'N': 150, 's': 0.5, 'seeds': 20, 'true_gain_mean': 0.044779414792977965, 'gain_mean': -0.013666666666666669, 'bias': -0.05844608145964464, 'pass': 0, 'p_lt_05': 0, 'cost_policy': 0.010098533333333335, 'cost_fixed': 0.011068000000000005}
{'learner': 'P1', 'delta': 3.0, 'rho': 1.0, 'N': 150, 's': 1.0, 'seeds': 20, 'true_gain_mean': 0.12037654703766758, 'gain_mean': -0.00786666666666667, 'bias': -0.12824321370433422, 'pass': 0, 'p_lt_05': 0, 'cost_policy': 0.009937733333333336, 'cost_fixed': 0.011068000000000005}
{'learner': 'P1', 'delta': 3.0, 'rho': 1.0, 'N': 200, 's': 0.0, 'seeds': 20, 'true_gain_mean': -2.2204460492503132e-17, 'gain_mean': -0.0117, 'bias': -0.011699999999999978, 'pass': 0, 'p_lt_05': 0, 'cost_policy': 0.0103906, 'cost_fixed': 0.011284}
{'learner': 'P1', 'delta': 3.0, 'rho': 1.0, 'N': 200, 's': 0.5, 'seeds': 20, 'true_gain_mean': 0.03801153366057692, 'gain_mean': -0.006900000000000002, 'bias': -0.044911533660576916, 'pass': 0, 'p_lt_05': 2, 'cost_policy': 0.010327, 'cost_fixed': 0.011284}
{'learner': 'P1', 'delta': 3.0, 'rho': 1.0, 'N': 200, 's': 1.0, 'seeds': 20, 'true_gain_mean': 0.120424343357539, 'gain_mean': -0.0030500000000000006, 'bias': -0.12347434335753897, 'pass': 0, 'p_lt_05': 3, 'cost_policy': 0.0101725, 'cost_fixed': 0.011284}
{'learner': 'P1', 'delta': 3.0, 'rho': 1.0, 'N': 300, 's': 0.0, 'seeds': 20, 'true_gain_mean': 2.2204460492503132e-17, 'gain_mean': -0.007366666666666667, 'bias': -0.00736666666666669, 'pass': 0, 'p_lt_05': 0, 'cost_policy': 0.011540800000000002, 'cost_fixed': 0.011916000000000005}
{'learner': 'P1', 'delta': 3.0, 'rho': 1.0, 'N': 300, 's': 0.5, 'seeds': 20, 'true_gain_mean': 0.03591020917041031, 'gain_mean': -0.0041, 'bias': -0.040010209170410316, 'pass': 0, 'p_lt_05': 0, 'cost_policy': 0.011482133333333335, 'cost_fixed': 0.011916000000000005}
{'learner': 'P1', 'delta': 3.0, 'rho': 1.0, 'N': 300, 's': 1.0, 'seeds': 20, 'true_gain_mean': 0.11207840712659937, 'gain_mean': -6.666666666666662e-05, 'bias': -0.11214507379326603, 'pass': 0, 'p_lt_05': 1, 'cost_policy': 0.01119846666666667, 'cost_fixed': 0.011916000000000005}
{'learner': 'P2', 'delta': 1.5, 'rho': 0.7, 'N': 100, 's': 0.0, 'seeds': 20, 'true_gain_mean': 0.0, 'gain_mean': -0.0412, 'bias': -0.0412, 'pass': 0, 'p_lt_05': 1, 'cost_policy': 0.009400000000000002, 'cost_fixed': 0.011668000000000003}
{'learner': 'P2', 'delta': 1.5, 'rho': 0.7, 'N': 100, 's': 0.5, 'seeds': 20, 'true_gain_mean': 0.012960297856072178, 'gain_mean': -0.022600000000000002, 'bias': -0.03556029785607218, 'pass': 0, 'p_lt_05': 2, 'cost_policy': 0.0091472, 'cost_fixed': 0.011668000000000003}
{'learner': 'P2', 'delta': 1.5, 'rho': 0.7, 'N': 100, 's': 1.0, 'seeds': 20, 'true_gain_mean': 0.0632526204682739, 'gain_mean': 0.013100000000000004, 'bias': -0.050152620468273915, 'pass': 2, 'p_lt_05': 9, 'cost_policy': 0.008100200000000002, 'cost_fixed': 0.011668000000000003}
{'learner': 'P2', 'delta': 1.5, 'rho': 0.7, 'N': 150, 's': 0.0, 'seeds': 20, 'true_gain_mean': 5.551115123125783e-18, 'gain_mean': -0.024466666666666668, 'bias': -0.02446666666666667, 'pass': 0, 'p_lt_05': 3, 'cost_policy': 0.009512933333333336, 'cost_fixed': 0.011360000000000006}
{'learner': 'P2', 'delta': 1.5, 'rho': 0.7, 'N': 150, 's': 0.5, 'seeds': 20, 'true_gain_mean': 0.016490047327285696, 'gain_mean': -0.008333333333333335, 'bias': -0.02482338066061903, 'pass': 0, 'p_lt_05': 6, 'cost_policy': 0.008854800000000001, 'cost_fixed': 0.011360000000000006}
{'learner': 'P2', 'delta': 1.5, 'rho': 0.7, 'N': 150, 's': 1.0, 'seeds': 20, 'true_gain_mean': 0.06289624161561028, 'gain_mean': 0.029400000000000003, 'bias': -0.03349624161561028, 'pass': 1, 'p_lt_05': 15, 'cost_policy': 0.007830266666666669, 'cost_fixed': 0.011360000000000006}
